Participant Number,Pre/Post/Intervention,Student/Counselor,Modality,Sampling Rate,Start Time,End Time,Duration,Gender,Extra Info,Mean,Median,Mode,Standard Deviation,Normalized Mean,Normalized Median,Normalized Mode,Normalized Standard Deviation
01,Pre,Counselor,Left,8,18:07:52,18:15:10,00:07:18,Males,,0.067,0.079,"[(0.002, 97)]",0.035,0.38,0.449,"[(0.011, 97)]",0.198
01,Pre,Counselor,Right,8,18:07:52,18:15:10,00:07:18,Males,,0.068,0.0,"[(0.0, 43)]",0.086,0.258,0.0,"[(0.0, 43)]",0.323
01,Pre,Student,Left,4,18:07:52,18:15:10,00:07:18,Males,,0.214,0.344,"[(0.0, 48)]",0.167,0.369,0.593,"[(0.0, 48)]",0.289
01,Pre,Student,Right,8,18:07:52,18:15:10,00:07:18,Males,,0.383,0.429,"[(0.465, 269)]",0.137,0.695,0.779,"[(0.844, 269)]",0.248
01,Post,Counselor,Left,8,20:20:50,20:25:03,00:04:13,Males,Vivek,0.494,0.559,"[(0.562, 100)]",0.178,0.641,0.725,"[(0.729, 100)]",0.231
01,Post,Counselor,Right,8,20:20:50,20:25:03,00:04:13,Males,Vivek,0.234,0.205,"[(0.0, 48)]",0.216,0.416,0.363,"[(0.0, 48)]",0.382
01,Post,Student,Left,4,20:20:50,20:25:03,00:04:13,Males,Vivek,0.065,0.082,"[(0.002, 99)]",0.042,0.465,0.59,"[(0.014, 99)]",0.299
01,Post,Student,Right,8,20:20:50,20:25:03,00:04:13,Males,Vivek,0.267,0.39,"[(0.0, 281)]",0.188,0.57,0.833,"[(0.0, 281)]",0.401
01,Intervention,Student,Left,,,,,,,,,,,,,,
01,Intervention,Student,Right,,,,,,,,,,,,,,
02,Pre,Counselor,Left,8,18:28:28,18:35:47,00:07:19,Males,,0.326,0.297,"[(0.273, 62)]",0.172,0.222,0.203,"[(0.186, 62)]",0.117
02,Pre,Counselor,Right,8,18:28:28,18:35:47,00:07:19,Males,,0.283,0.283,"[(0.0, 44)]",0.228,0.437,0.439,"[(0.0, 44)]",0.353
02,Pre,Student,Left,4,18:28:28,18:35:47,00:07:19,Males,,2.971,3.192,"[(0.002, 72)]",1.346,0.638,0.686,"[(0.0, 92)]",0.289
02,Pre,Student,Right,8,18:28:28,18:35:47,00:07:19,Males,,1.829,0.0,"[(0.0, 3519)]",2.802,0.228,0.0,"[(0.0, 3584)]",0.35
02,Post,Counselor,Left,8,19:58:27,20:05:05,00:06:38,Males,Francisco,0.507,0.434,"[(0.422, 168)]",0.165,0.446,0.382,"[(0.371, 169)]",0.145
02,Post,Counselor,Right,8,19:58:27,20:05:05,00:06:38,Males,Francisco,0.347,0.485,"[(0.0, 30)]",0.241,0.521,0.727,"[(0.0, 30)]",0.361
02,Post,Student,Left,4,19:58:27,20:05:05,00:06:38,Males,Francisco,5.185,5.576,"[(6.491, 17)]",2.848,0.487,0.524,"[(0.61, 17)]",0.268
02,Post,Student,Right,8,19:58:27,20:05:05,00:06:38,Males,Francisco,7.033,7.83,"[(0.0, 218)]",3.052,0.654,0.728,"[(0.0, 219)]",0.284
02,Intervention,Student,Left,,,,,,,,,,,,,,
02,Intervention,Student,Right,,,,,,,,,,,,,,
03,Pre,Counselor,Left,8,18:42:21,18:53:30,00:11:9,Males,,0.066,0.079,"[(0.083, 84)]",0.036,0.55,0.664,"[(0.697, 84)]",0.304
03,Pre,Counselor,Right,8,18:42:21,18:53:30,00:11:9,Males,,0.029,0.03,"[(0.03, 350)]",0.036,0.031,0.033,"[(0.033, 350)]",0.039
03,Pre,Student,Left,4,18:42:21,18:53:30,00:11:9,Males,,1.017,1.027,"[(1.027, 78)]",0.251,0.656,0.663,"[(0.663, 78)]",0.162
03,Pre,Student,Right,8,18:42:21,18:53:30,00:11:9,Males,,2.049,2.073,"[(2.09, 100)]",0.497,0.598,0.605,"[(0.61, 100)]",0.145
03,Post,Counselor,Left,8,20:36:10,20:49:36,00:13:26,Males,Chase,0.268,0.351,"[(0.351, 17)]",0.176,0.285,0.374,"[(0.374, 17)]",0.188
03,Post,Counselor,Right,8,20:36:10,20:49:36,00:13:26,Males,Chase,0.228,0.191,"[(0.177, 214)]",0.105,0.443,0.371,"[(0.344, 214)]",0.203
03,Post,Student,Left,4,20:36:10,20:49:36,00:13:26,Males,Chase,3.277,3.522,"[(3.461, 104)]",1.09,0.681,0.732,"[(0.0, 127)]",0.227
03,Post,Student,Right,8,20:36:10,20:49:36,00:13:26,Males,Chase,1.555,1.29,"[(0.0, 160)]",1.691,0.284,0.235,"[(0.0, 160)]",0.309
03,Intervention,Student,Left,4,13:35:37,13:54:50,00:19:13,,,0.262,0.259,"[(0.256, 227)]",0.032,0.355,0.351,"[(0.347, 227)]",0.044
03,Intervention,Student,Right,8,13:35:37,13:54:50,00:19:13,,,0.202,0.204,"[(0.177, 385)]",0.029,0.708,0.713,"[(0.619, 385)]",0.102
04,Pre,Counselor,Left,8,18:56:19,19:03:41,00:07:22,Males,,0.063,0.079,"[(0.112, 46)]",0.045,0.484,0.608,"[(0.862, 46)]",0.343
04,Pre,Counselor,Right,8,18:56:19,19:03:41,00:07:22,Males,,0.091,0.098,"[(0.103, 440)]",0.02,0.46,0.492,"[(0.518, 440)]",0.103
